v8-version,5,1,281,111,0
code-creation,Stub,3,0x2b1e55a1e040,555,"ArrayNArgumentsConstructorStub"
code-creation,Stub,15,0x2b1e55a1e280,151,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1e320,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x2b1e55a1e6e0,464,"A call IC from the snapshot"
code-creation,Handler,4,0x2b1e55a1e8c0,947,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a1ec80,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,3,0x2b1e55a1ed00,1387,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x2b1e55a1f280,188,"DoubleToIStub"
code-creation,Stub,15,0x2b1e55a1f340,419,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a1f500,443,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a1f6c0,224,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a1f7a0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x2b1e55a1f9a0,284,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1fac0,328,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a1fc20,320,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1fd60,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a1fde0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a1fe60,204,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1ff40,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a1ffc0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a20040,116,"An IC handler from the snapshot"
code-creation,CallIC,12,0x2b1e55a200c0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a20140,464,"A call IC from the snapshot"
code-creation,Stub,15,0x2b1e55a20320,151,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a203c0,212,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a204a0,212,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a20580,120,"An IC handler from the snapshot"
